agntosf,ambigagn,composite,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,rs0804,False,False
False,False,False,True,False,False,rs0808,False,False
False,False,False,False,False,False,rs0809,False,False
False,False,False,False,False,False,rs0811,False,False
False,False,False,False,False,False,rs0812,False,False
False,False,False,False,False,False,rs0831,True,False
False,False,False,False,False,True,rs0834,False,False
False,False,False,False,False,False,rs0846,False,False
False,False,False,False,False,False,rs0865,True,False
False,False,True,False,False,False,rs0889,False,False
False,False,False,False,False,True,rs0944,False,False
False,False,False,False,False,False,rs0945,False,False
False,False,False,False,False,False,rs0960,True,False
False,False,False,False,False,True,rs0962,False,False
False,False,False,False,False,False,rs0967,True,False
False,False,False,False,False,False,rs0984,False,False
False,False,False,False,False,True,rs0991,False,False
False,False,True,False,False,False,rs1036,False,False
False,False,False,False,False,False,rs1049,False,False
False,False,False,False,False,False,rs1052,False,False
False,False,False,False,False,False,rs1057,True,False
False,False,False,False,False,False,rs1078,True,False
False,False,False,False,False,False,rs1082,False,False
False,False,False,True,False,False,rs1088,False,False
False,False,False,False,False,False,rs1103,False,False
False,False,False,False,True,False,rs1106,False,False
False,False,False,False,False,False,rs1109,False,False
False,False,False,False,True,False,rs1111,False,False
True,False,False,False,False,False,rs1112,False,False
False,False,False,False,False,False,rs1120,False,False
False,False,False,False,False,False,rs1121,False,False
False,False,True,False,False,False,rs1134,False,False
False,True,False,False,False,False,rs1150,False,False
False,False,False,False,False,False,rs1169,False,False
False,False,False,False,False,True,rs1178,False,False
False,False,False,False,False,False,rs1179,False,False
False,False,False,False,False,True,rs1183,False,False
False,False,False,False,False,False,rs1188,False,False
False,False,False,False,True,False,rs1190,False,False
False,False,False,False,False,False,rs1191,False,False
False,False,True,False,False,False,rs1197,False,False
False,False,False,False,False,False,rs1210,False,False
False,False,False,False,True,False,rs1214,False,False
False,False,False,False,False,False,rs1238,False,False
False,False,False,False,False,True,rs1259,False,False
False,False,False,False,False,False,rs1286,True,False
False,False,False,False,False,False,rs1294,False,False
False,False,True,False,False,False,rs1364,False,False
